Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
50.495,1283.8547,22.5435,-25.5135
50.545,1272.4648,22.6434,-25.6987
50.595,1282.4186,22.7435,-25.6862
50.645,1275.9533,22.8435,-25.8506
50.695,1269.9038,22.9434,-25.933
50.745,1283.5835,23.0434,-26.027
50.795,1269.2806,23.1435,-26.2136
50.845,1279.0879,23.2435,-26.3809
50.895,1272.2819,23.3431,-26.4237
50.945,1274.5578,23.4431,-26.5641
50.995,1279.9613,23.5433,-26.6142
51.045,1271.0868,23.6433,-26.7946
51.095,1275.2346,23.7433,-26.9401
51.145,1281.7595,23.8433,-27.0345
51.195,1269.588,23.9434,-27.0144
51.245,1277.7627,24.0438,-27.2534
51.295,1269.7439,24.1434,-27.2908
51.345,1272.457,24.2431,-27.4479
51.395,1274.5222,24.3434,-27.5426
51.445,1266.2486,24.4433,-27.7042
51.495,1276.3673,24.5435,-27.8074
51.545,1268.821,24.6434,-27.9093
51.595,1267.9514,24.7432,-27.976
51.645,1274.1519,24.8434,-28.0405
51.695,1262.9982,24.9433,-28.2798
51.745,1276.6569,25.0432,-28.3001
51.795,1271.2505,25.143,-28.5424
51.845,1264.7814,25.2431,-28.5989
51.895,1280.5735,25.3433,-28.765
51.945,1264.0824,25.4431,-28.8599
51.995,1270.1453,25.5434,-28.9698
52.045,1271.901,25.6432,-29.0668
52.095,1261.7137,25.7433,-29.178
52.145,1274.1718,25.8437,-29.2367
52.195,1264.4693,25.9434,-29.3398
52.245,1263.6689,26.0432,-29.5476
52.295,1273.5338,26.1433,-29.6606
52.345,1263.1878,26.2432,-29.7624
52.395,1267.8349,26.3434,-29.8199
52.445,1267.3104,26.4432,-30.0505
52.495,1258.6546,26.5433,-30.1195
52.545,1275.182,26.6433,-30.0992
52.595,1263.2929,26.7432,-30.2286
52.645,1265.4167,26.8433,-30.3629
52.695,1273.0372,26.9431,-30.5228
52.745,1256.4642,27.043,-30.6245
52.795,1269.3288,27.143,-30.7185
52.845,1260.4408,27.2433,-30.8806
52.895,1260.8613,27.3432,-30.9806
52.945,1269.5829,27.4431,-31.1656
52.995,1251.6807,27.5432,-31.3672
